,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
41,Ammon,90,US,1578626946,79,43.47,-111.97,24.8,18.34
42,Voru,90,EE,1578627134,86,57.82,26.93,37.4,6.93
43,Nara,40,JP,1578627134,43,34.68,135.8,55.0,8.05
44,Athani,0,IN,1578627134,75,16.73,75.07,70.14,13.71
45,Hermanus,89,ZA,1578627019,90,-34.42,19.24,63.0,4.0
46,Saint-Louis,98,SN,1578627134,33,16.03,-16.5,59.0,6.93
47,Qaanaaq,75,GL,1578627134,74,77.48,-69.36,-16.13,0.38
48,Puerto Carreno,52,CO,1578627134,74,6.19,-67.49,80.6,6.93
49,Hilo,90,US,1578627134,69,19.71,-155.08,78.8,11.41
50,Ushuaia,75,AR,1578626944,70,-54.81,-68.31,42.8,29.97
51,Acapulco de Juarez,5,MX,1578626844,83,16.86,-99.88,80.6,4.7
52,Balkanabat,49,TM,1578627149,81,39.51,54.36,37.51,6.04
53,Lompoc,1,US,1578627149,71,34.64,-120.46,54.0,14.99
54,Mahebourg,40,MU,1578627149,78,-20.41,57.7,77.0,3.36
55,Dikson,100,RU,1578627149,92,73.51,80.55,16.45,22.79
56,Dingtao,100,CN,1578627149,69,35.07,115.56,39.09,2.91
57,Potrerillos,75,HN,1578627149,94,15.09,-87.97,75.0,4.7
58,Leshukonskoye,100,RU,1578627149,91,64.9,45.76,30.6,11.45
59,Gujar Khan,87,PK,1578627149,86,33.19,73.14,43.0,6.93
60,Nanortalik,65,GL,1578627150,61,60.14,-45.24,15.37,23.85
61,Natal,75,BR,1578627150,88,-5.81,-35.21,78.8,2.24
62,Yellowknife,40,CA,1578627022,65,62.45,-114.38,-36.0,3.36
63,Kaduqli,0,SD,1578627150,19,11.01,29.72,60.76,16.58
64,Safford,40,US,1578627150,42,32.83,-109.71,48.2,13.87
65,Bumba,100,CD,1578627150,72,2.18,22.47,75.56,1.72
66,Iqaluit,75,CA,1578627150,69,63.75,-68.52,-13.0,21.92
67,Port Alfred,57,ZA,1578627150,95,-33.59,26.89,66.0,1.01
68,Saint-Jerome,75,CA,1578627150,71,45.63,-73.98,19.0,9.17
69,Honningsvag,100,NO,1578627150,93,70.98,25.97,35.31,22.82
70,Cumberland,1,US,1578627150,73,39.31,-74.98,32.0,6.06
71,Hare Bay,75,CA,1578627150,78,48.86,-53.99,10.4,19.46
72,Inhambane,75,MZ,1578627150,89,-23.87,35.38,84.2,9.17
73,Sur,72,OM,1578627150,72,22.57,59.53,65.53,4.43
74,Castro,80,CL,1578627150,87,-42.48,-73.76,46.4,1.7
75,Manicaragua,100,CU,1578627150,83,22.14,-79.97,75.2,13.87
76,Sakaraha,49,MG,1578627150,77,-22.91,44.53,73.85,5.75
77,Road Town,1,VG,1578627049,74,18.42,-64.62,79.0,16.11
78,Provideniya,100,RU,1578627150,65,64.42,-173.23,5.0,24.61
79,Butaritari,11,KI,1578627150,77,3.07,172.79,84.49,14.61
80,Tres Arroyos,0,AR,1578627150,44,-38.31,-60.23,59.9,4.7
81,Derzhavinsk,92,KZ,1578627151,84,51.1,66.31,3.79,5.21
82,Coyhaique,90,CL,1578627151,95,-45.58,-72.07,46.4,3.36
83,Angostura,55,MX,1578627151,84,25.34,-108.26,60.01,1.99
84,Suez,97,EG,1578627151,77,29.97,32.54,49.75,15.35
85,Topchikha,40,RU,1578627151,77,52.82,83.12,-0.4,4.47
86,Puerto Ayora,10,EC,1578627151,80,-0.74,-90.35,77.0,8.01
87,Cape Town,36,ZA,1578626883,82,-33.93,18.42,64.99,8.05
88,Banjar,100,ID,1578627151,86,-7.37,108.54,78.13,2.24
89,Chifeng,0,CN,1578627151,43,42.27,118.96,18.81,6.58
90,Khatanga,100,RU,1578627151,90,71.98,102.47,-1.7,11.25
91,Ostrovnoy,66,RU,1578627151,95,68.05,39.51,28.35,24.25
92,Hay River,90,CA,1578627151,75,60.82,-115.79,-20.2,3.36
93,Tuktoyaktuk,90,CA,1578627151,83,69.44,-133.03,-9.4,21.92
94,Boone,100,US,1578627151,51,36.22,-81.67,46.99,0.78
95,Balclutha,100,NZ,1578627151,54,-46.28,169.85,61.0,8.01
96,Pueblo,90,US,1578627118,30,38.25,-104.61,41.0,13.87
97,Namatanai,100,PG,1578627152,86,-3.66,152.44,79.02,12.01
98,Kapaa,90,US,1578627152,73,22.08,-159.32,80.6,24.16
99,Richards Bay,100,ZA,1578627152,78,-28.77,32.06,77.88,26.17
100,Upernavik,90,GL,1578627152,88,72.79,-56.15,-20.42,4.72
101,Goure,60,NE,1578627152,26,13.98,10.27,64.0,10.0
102,Hambantota,75,LK,1578627167,100,6.12,81.12,75.2,3.36
103,Banjarmasin,40,ID,1578627167,79,-3.32,114.59,86.0,5.82
104,Aniva,0,RU,1578627167,62,46.71,142.53,21.2,2.24
105,Cabo San Lucas,40,MX,1578627167,63,22.89,-109.91,69.01,3.36
106,Aleksandrovskoye,40,RU,1578627167,83,56.73,85.44,0.0,4.47
107,Geraldton,90,CA,1578627167,92,49.72,-86.95,15.8,2.24
108,Adrar,0,DZ,1578627167,48,27.87,-0.29,39.2,10.29
109,Assiniboia,100,CA,1578627167,94,49.63,-105.99,-9.89,11.7
110,Koforidua,92,GH,1578627167,88,6.11,-0.27,82.4,9.17
111,Moyale,0,ET,1578627167,46,3.52,39.05,70.93,5.19
112,Cidreira,0,BR,1578627167,89,-30.17,-50.22,76.6,21.21
113,Springbok,0,ZA,1578627167,64,-29.67,17.88,54.36,7.16
114,Muisne,13,EC,1578627167,89,0.61,-80.02,75.63,5.55
115,Ainaro,100,TL,1578627168,46,-8.93,125.41,83.16,4.14
116,Darnah,0,LY,1578627168,61,32.77,22.64,57.76,17.13
117,Lafiagi,74,NG,1578627168,28,8.85,5.42,75.52,2.77
118,Oshikango,9,NA,1578627168,56,-17.39,15.89,73.4,4.7
119,Winslow,90,GB,1578627168,93,51.94,-0.88,44.01,16.11
120,Leningradskiy,100,RU,1578627168,87,69.38,178.42,-5.93,15.39
121,Pedernales,31,EC,1578627168,90,0.07,-80.05,73.63,3.42
122,Dalby,0,AU,1578627168,30,-27.18,151.26,100.99,12.75
123,Ilulissat,100,GL,1578627168,70,69.22,-51.1,1.4,13.87
124,Tricase,75,IT,1578627168,92,39.93,18.36,30.2,8.61
125,Dangriga,69,BZ,1578627168,98,16.97,-88.23,73.0,18.16
126,Soyo,99,AO,1578627168,88,-6.13,12.37,75.72,3.53
127,Ponta Delgada,75,PT,1578627168,100,37.73,-25.67,62.6,10.29
128,Pacific Grove,40,US,1578627168,76,36.62,-121.92,52.0,4.7
129,Caleta Olivia,24,AR,1578627168,32,-46.43,-67.52,55.6,22.64
130,Skjervoy,99,NO,1578627168,59,70.03,20.97,38.16,34.43
131,Arraial do Cabo,12,BR,1578627168,91,-22.97,-42.02,77.76,7.74
132,Bilibino,100,RU,1578627169,77,68.06,166.44,-4.36,1.88
133,Zestaponi,90,GE,1578627169,100,41.96,42.96,41.0,4.7
134,Pangnirtung,93,CA,1578627169,99,66.15,-65.72,-32.4,2.57
135,Palmas Bellas,48,PA,1578627169,83,9.23,-80.09,79.0,11.41
136,Agirish,100,RU,1578627169,88,61.92,63.02,18.79,10.67
137,Lagoa,0,PT,1578627169,93,37.14,-8.45,53.01,8.05
138,Saint-Philippe,90,CA,1578627169,61,45.36,-73.48,19.99,6.93
139,Micheweni,0,TZ,1578627169,76,-4.97,39.83,83.52,8.61
140,Port Lincoln,100,AU,1578627169,64,-34.72,135.86,66.06,12.82
141,Leh,0,IN,1578627169,18,34.16,77.58,-4.94,2.3
142,Ancud,100,CL,1578627169,87,-41.87,-73.83,46.4,0.38
143,Chui,14,UY,1578627169,92,-33.69,-53.46,71.55,3.36
144,Broken Hill,25,AU,1578627169,15,-31.96,141.45,104.0,21.92
145,Bowen,8,AU,1578627169,52,-20.01,148.25,88.0,17.22
146,Batticaloa,100,LK,1578627169,79,7.71,81.69,74.97,3.6
147,Svirsk,98,RU,1578627169,95,52.96,103.29,7.02,1.43
148,Thompson,90,CA,1578627041,76,55.74,-97.86,-5.8,16.11
149,Inuvik,90,CA,1578627170,67,68.36,-133.71,-23.8,6.93
150,Praya,40,ID,1578627170,66,-8.71,116.27,87.8,9.17
151,Nouakchott,53,MR,1578627136,23,18.08,-15.98,51.8,10.29
152,Blackwater,0,AU,1578627170,28,-23.58,149.07,93.16,13.0
153,Mnogovershinnyy,0,RU,1578627185,86,53.94,139.92,7.99,5.28
154,Cyprus,20,CY,1578627185,61,34.93,32.94,51.8,10.29
155,High Rock,66,BS,1578627185,73,26.63,-78.28,72.39,28.7
156,San Ignacio,100,PE,1578627185,83,-5.15,-79.0,63.43,1.88
157,East London,40,ZA,1578627185,93,-33.02,27.91,64.4,8.05
158,Gialo,0,LY,1578627185,72,29.03,21.55,44.49,4.14
159,Bon Success,70,GY,1578627185,61,3.36,-59.84,81.28,14.41
160,Matay,1,EG,1578627185,86,28.42,30.79,43.63,9.04
161,Kluczbork,99,PL,1578627185,76,50.97,18.21,39.72,9.75
162,Esperance,75,AU,1578627185,43,-33.86,121.89,71.6,16.11
163,Ovalle,0,CL,1578627185,59,-30.6,-71.2,56.01,0.98
164,Sao Joao da Barra,100,BR,1578627186,86,-21.64,-41.05,76.41,15.86
165,Sorland,100,NO,1578627186,72,67.67,12.69,43.03,16.33
166,Cabra,17,ES,1578627186,100,37.47,-4.43,48.99,2.24
167,Anadyr,20,RU,1578627186,61,64.73,177.51,12.2,15.66
168,Kaeo,0,NZ,1578627186,41,-35.1,173.78,82.0,5.99
169,Mossamedes,44,AO,1578627186,74,-15.19,12.15,74.3,5.06
170,Trabzon,75,TR,1578627186,75,41.01,39.72,44.6,5.68
171,Savannah,75,US,1578627186,69,39.95,-94.76,45.0,9.17
172,Altamira,94,BR,1578627186,85,-3.2,-52.21,73.98,2.17
173,Cockburn Town,32,TC,1578627186,78,21.46,-71.14,79.14,29.33
174,Vila Franca do Campo,75,PT,1578627186,100,37.72,-25.43,62.6,10.29
175,Goba,100,ET,1578627186,66,7.01,39.97,46.8,4.14
176,Jamestown,100,AU,1578627186,76,-33.21,138.6,68.7,20.11
177,Bandarbeyla,48,SO,1578627186,70,9.49,50.81,78.67,14.12
178,Hualmay,0,PE,1578627186,88,-11.1,-77.61,67.12,3.47
179,Valga,90,EE,1578627186,86,57.91,26.05,37.4,6.93
180,Viking,100,CA,1578627186,69,53.1,-111.78,-9.99,3.06
181,Azangaro,0,PE,1578626989,92,-14.91,-70.2,40.06,2.19
182,Nabire,100,ID,1578627187,67,-3.36,135.5,86.85,4.05
183,Kambove,95,CD,1578627187,96,-10.88,26.6,60.21,3.51
184,Bethel,90,US,1578627187,70,60.79,-161.76,-2.2,14.99
185,San Jose,8,CR,1578627000,64,10.02,-84.06,69.8,16.11
186,Yerbogachen,63,RU,1578627187,95,61.28,108.01,-10.62,9.26
187,Novyy Urgal,100,RU,1578627187,90,51.07,132.56,0.46,0.47
188,Tirschenreuth,90,DE,1578627187,100,49.88,12.34,43.0,5.84
189,Pevek,100,RU,1578627187,84,69.7,170.27,-2.43,4.12
190,Ostuni,0,IT,1578627187,93,40.73,17.58,43.0,8.05
191,Vorkuta,100,RU,1578627187,94,67.55,63.78,27.34,22.5
192,Sinop,100,TR,1578627187,75,42.03,35.15,43.65,13.09
193,Caravelas,100,BR,1578627187,95,-17.73,-39.27,70.97,5.55
194,Havelock,1,US,1578627187,75,34.88,-76.9,46.4,8.05
195,Escanaba,90,US,1578627002,93,45.75,-87.06,41.0,6.93
196,Craig,90,US,1578627187,92,40.52,-107.55,25.0,1.07
197,Imo State,100,NG,1578627187,88,5.43,7.07,77.0,3.58
198,Narsaq,0,GL,1578627188,31,60.91,-46.05,3.2,5.82
199,Salekhard,67,RU,1578627188,87,66.54,66.62,18.77,18.77
200,Mitsamiouli,40,KM,1578627188,83,-11.38,43.28,78.8,4.7
201,Georgetown,20,GY,1578627188,100,6.8,-58.16,73.4,3.36
202,Seoul,1,KR,1578627135,64,37.57,126.98,35.6,1.41
203,Carnarvon,0,ZA,1578627189,76,-30.97,22.13,60.89,16.67
204,Chicama,40,PE,1578627204,94,-7.84,-79.15,68.0,11.41
205,Bariloche,40,AR,1578627204,76,-41.13,-71.31,48.2,16.11
206,Araouane,10,ML,1578627204,23,18.9,-3.53,59.07,12.26
207,Bredasdorp,93,ZA,1578627204,89,-34.53,20.04,63.0,5.99
208,Mercedes,0,UY,1578627204,75,-33.25,-58.03,75.99,8.01
209,Kieta,82,PG,1578627204,76,-6.22,155.63,82.24,5.32
210,Hit,23,IQ,1578627204,79,33.64,42.83,48.49,7.23
211,Alice Springs,100,AU,1578627204,21,-23.7,133.88,102.2,5.82
212,Pisco,47,PE,1578627204,94,-13.71,-76.2,69.8,12.75
213,Hofn,76,IS,1578627204,73,64.25,-15.21,39.83,36.35
214,Zhigansk,97,RU,1578627204,96,66.77,123.37,-9.26,10.33
215,Grand Island,1,US,1578627122,86,40.92,-98.34,32.0,9.17
216,Cayenne,20,GF,1578627003,78,4.94,-52.33,77.0,5.82
217,Severo-Kuril'sk,65,RU,1578627204,90,50.68,156.12,25.09,14.83
218,Pontes e Lacerda,73,BR,1578627204,96,-15.23,-59.33,72.28,3.44
219,Pangody,100,RU,1578627205,91,65.85,74.49,15.89,26.19
220,Nambour,0,AU,1578627205,63,-26.63,152.96,93.0,3.0
221,Bandar-e Lengeh,90,IR,1578627205,93,26.56,54.88,60.8,4.7
222,Kahului,40,US,1578627077,78,20.89,-156.47,73.4,18.34
223,Kinablangan,98,PH,1578627205,62,7.69,126.55,81.63,7.25
224,Tasiilaq,0,GL,1578627205,42,65.61,-37.64,6.8,5.82
225,Dobra,90,PL,1578627205,93,53.58,15.31,51.01,5.82
226,Hirara,40,JP,1578627192,60,24.8,125.28,69.8,9.17
227,Uglovoye,46,UA,1578627205,70,44.82,33.6,40.23,7.34
228,Paamiut,86,GL,1578627205,55,61.99,-49.67,6.19,12.28
229,Durango,75,MX,1578627205,30,23.99,-104.67,59.0,8.05
230,Mutoko,92,ZW,1578627205,92,-17.4,32.23,66.99,3.8
231,Loeningen,75,DE,1578627205,81,52.73,7.77,52.0,13.87
232,Bubaque,0,GW,1578627205,42,11.28,-15.83,76.95,22.68
233,Danville,75,US,1578627205,87,37.82,-122.0,48.99,9.17
234,Viedma,63,AR,1578627205,28,-40.81,-62.99,57.81,2.46
235,Astana,75,KZ,1578627205,83,51.13,71.43,-11.2,4.47
236,Lebork,90,PL,1578627205,93,54.54,17.75,48.99,6.93
237,Thinadhoo,34,MV,1578627206,80,0.53,72.93,82.06,14.34
238,Departamento de Presidente Hayes,97,PY,1578627206,56,-23.49,-58.8,86.86,5.61
239,Longyearbyen,20,NO,1578627206,60,78.22,15.63,8.6,33.33
240,Bambous Virieux,40,MU,1578627206,78,-20.34,57.76,77.0,3.36
241,Corinto,20,CO,1578627206,78,3.17,-76.26,71.6,6.93
242,Bahia Blanca,70,AR,1578627206,57,-38.72,-62.27,62.31,10.36
243,Nantucket,1,US,1578626972,73,41.28,-70.1,28.0,4.74
244,Heihe,100,RU,1578627206,77,50.24,127.51,-2.2,2.24
245,Kungurtug,61,RU,1578627206,80,50.6,97.53,-6.59,1.63
246,Tessalit,0,ML,1578627206,27,20.2,1.01,59.29,3.67
247,Perth,0,AU,1578626916,26,-31.95,115.86,82.99,17.22
248,Tamsalu,100,EE,1578627206,98,59.1,26.19,33.94,2.98
249,Talnakh,90,RU,1578627206,84,69.49,88.39,8.6,38.03
250,Prieska,0,ZA,1578627206,63,-29.67,22.74,68.0,16.46
251,Esim,60,GH,1578627206,87,4.87,-2.24,76.23,3.11
252,Nigde,9,TR,1578627206,84,37.97,34.68,18.46,5.1
253,Tanout,92,NE,1578627206,27,14.97,8.88,64.0,11.18
254,Haines Junction,53,CA,1578627206,99,60.75,-137.51,-27.51,7.0
255,Ilula,75,TZ,1578627221,88,-7.68,36.04,66.2,2.17
256,Vila Soeiro,6,PT,1578627222,96,40.68,-7.46,44.01,2.17
257,Tyulyachi,90,RU,1578627222,92,55.89,50.23,24.8,13.42
258,San Juan de Arama,50,CO,1578627222,66,3.37,-73.87,68.4,4.92
259,Avarua,100,CK,1578627222,74,-21.21,-159.78,82.4,11.41
260,Banda Aceh,100,ID,1578627222,58,5.56,95.32,84.06,7.2
261,Srednekolymsk,53,RU,1578627222,100,67.46,153.71,-31.07,1.63
262,Norman Wells,5,CA,1578627222,64,65.28,-126.83,-43.6,3.36
263,Ibicui,82,BR,1578627222,94,-14.84,-39.99,66.67,3.0
264,Dunedin,100,NZ,1578627045,73,-45.87,170.5,54.55,10.54
265,Fortaleza,20,BR,1578627221,88,-3.71,-38.6,78.8,2.24
266,Ayr,4,AU,1578627222,61,-19.58,147.4,87.01,11.01
267,Grindavik,75,IS,1578627222,81,63.84,-22.43,32.0,12.75
268,Flinders,91,AU,1578627222,52,-34.58,150.85,87.8,14.99
269,Benito,100,CA,1578627222,89,51.93,-101.44,-5.75,8.57
270,Imbituba,40,BR,1578627222,94,-28.24,-48.67,78.8,11.41
271,La Joya,1,US,1578627222,78,26.25,-98.48,73.0,18.34
272,Atar,0,MR,1578627222,30,20.52,-13.05,49.5,10.04
273,Gari,34,RU,1578627222,86,59.43,62.35,16.32,12.91
274,Nador,19,MA,1578627222,87,35.17,-2.93,48.2,3.36
275,Margate,100,AU,1578627222,76,-43.03,147.26,72.0,3.0
276,Sungaipenuh,100,ID,1578627223,95,-2.08,101.38,65.57,3.11
277,Kavaratti,40,IN,1578627223,78,10.57,72.64,82.4,11.01
278,The Valley,40,AI,1578627199,78,18.22,-63.06,79.0,20.8
279,Parakai,33,NZ,1578627223,60,-36.66,174.44,73.0,20.8
280,Perth,0,AU,1578627223,26,-31.82,115.75,84.0,17.22
281,Vinstra,100,NO,1578627223,81,61.67,9.69,9.86,4.27
282,Damietta,20,EG,1578627223,81,31.42,31.81,50.0,14.99
283,Stykkisholmur,82,IS,1578627223,84,65.08,-22.73,26.85,11.12
284,Wum,29,CM,1578627223,39,6.39,10.08,66.38,2.37
285,Tecpan Guatemala,40,GT,1578627223,77,14.76,-90.99,64.4,16.11
286,Abashiri,75,JP,1578627223,54,44.01,144.25,28.4,11.41
287,Port Hedland,90,AU,1578627223,63,-20.31,118.58,93.2,11.41
288,Sao Filipe,100,CV,1578627223,75,14.9,-24.5,66.06,26.44
289,Farsala,19,GR,1578627223,79,39.45,22.34,34.0,0.51
290,Virginia Beach,90,US,1578627135,80,36.85,-75.98,41.0,13.18
291,Bonthe,100,SL,1578627223,79,7.53,-12.5,78.08,4.05
292,Khuzhir,100,RU,1578627223,73,53.19,107.35,13.55,6.93
293,Tiadiaye,26,SN,1578627223,17,14.42,-16.71,64.4,19.46
294,Beringovskiy,100,RU,1578627224,83,63.05,179.32,16.59,18.37
295,Athabasca,100,CA,1578627022,93,54.72,-113.29,-11.78,3.2
296,Deputatsky,0,RU,1578627224,98,69.3,139.9,-20.9,2.66
297,Chapada dos Guimaraes,96,BR,1578627224,83,-15.46,-55.75,77.0,5.82
298,Mahibadhoo,19,MV,1578627224,81,3.78,72.97,81.1,15.03
299,Mersa Matruh,40,EG,1578627197,76,31.35,27.25,51.8,12.75
300,Namie,40,JP,1578627224,60,37.52,140.86,46.0,14.99
301,Labuan,75,BN,1578627224,70,5.28,115.24,87.8,3.36
302,Haessleholm,83,SE,1578627224,87,56.16,13.77,48.99,9.17
303,Ilo,100,PE,1578627224,81,-17.65,-71.34,72.82,13.04
304,Sanguem,20,IN,1578627224,69,15.23,74.14,77.0,9.17
305,Tiksi,92,RU,1578627224,91,71.64,128.87,-11.54,5.5
306,Bilma,98,NE,1578627239,23,18.69,12.92,60.31,6.82
307,Uttarkashi,0,IN,1578627239,27,30.78,78.62,12.13,7.96
308,Caparrapi,6,CO,1578627239,90,5.36,-74.39,69.75,2.48
309,Nisab,0,YE,1578627239,77,14.4,46.47,56.8,3.98
310,Ambilobe,100,MG,1578627239,87,-13.19,49.05,75.72,3.24
311,Moranbah,27,AU,1578627239,25,-22.0,148.04,94.75,14.81
312,Trinidad,59,BO,1578627240,88,-14.83,-64.9,76.14,3.09
313,Sibu,75,MY,1578627060,83,2.29,111.83,82.4,4.7
314,Quryq,27,KZ,1578627240,66,43.18,51.68,39.33,8.34
315,Yar-Sale,100,RU,1578627240,90,66.83,70.83,20.82,23.96
316,La Romana,20,DO,1578627240,100,18.43,-68.97,78.8,4.7
317,Marne,75,FR,1578627240,87,48.95,4.24,48.2,20.8
318,Turukhansk,100,RU,1578627240,92,65.8,87.96,0.48,20.76
319,Victor Harbor,75,AU,1578627240,88,-35.55,138.62,62.6,14.99
320,Alofi,0,NU,1578627240,74,-19.06,-169.92,84.2,16.11
321,Nokaneng,100,BW,1578627240,67,-19.66,22.19,76.24,8.05
322,Pavelets,100,RU,1578627240,94,53.87,39.17,28.96,6.55
323,Campo Formoso,0,BR,1578627240,89,-10.51,-40.32,65.52,11.39
324,Karratha,4,AU,1578627240,75,-20.74,116.85,87.66,19.62
325,College,1,US,1578627240,65,64.86,-147.8,-9.4,1.36
326,Lichtenburg,3,ZA,1578627240,79,-26.15,26.16,66.22,5.91
327,Alghero,0,IT,1578627240,93,40.56,8.32,46.99,3.36
328,Jiayuguan,100,CN,1578627240,72,39.77,98.29,25.16,11.18
329,Padang,100,ID,1578627240,94,-0.92,100.36,72.01,3.13
330,Beccles,100,GB,1578627241,87,52.47,1.45,44.6,9.17
331,Constantine,40,DZ,1578627241,93,36.36,6.61,35.6,4.7
332,Wuda,68,CN,1578627241,57,39.5,106.72,18.93,1.16
333,Erzin,20,TR,1578627241,100,36.95,36.2,45.0,6.22
334,Buin,21,CL,1578627241,48,-33.73,-70.74,66.2,10.29
335,Kon Tum,0,VN,1578627084,50,14.36,108.0,79.86,2.28
336,Sour Lake,40,US,1578627241,88,30.04,-94.42,69.8,11.41
337,Waingapu,97,ID,1578627241,78,-9.65,120.26,82.76,10.18
338,Quatre Cocos,40,MU,1578627241,78,-20.21,57.76,77.0,3.36
339,Loa Janan,82,ID,1578627241,50,-0.58,117.09,90.86,3.85
340,Fortuna,20,US,1578627241,87,40.6,-124.16,46.4,5.82
341,Camapua,93,BR,1578627241,90,-19.53,-54.04,73.56,4.29
342,Burns Lake,100,CA,1578627027,97,54.23,-125.76,8.33,3.42
343,Keti Bandar,0,PK,1578627241,40,24.14,67.45,56.64,14.88
344,Kushima,20,JP,1578627241,43,31.5,131.29,55.4,12.75
345,Santa Ines,42,BR,1578627241,97,-3.7,-45.5,74.28,3.76
346,Suining,15,CN,1578627241,58,30.54,105.42,49.44,7.65
347,Galesong,40,ID,1578627241,74,-5.32,119.37,87.8,3.36
348,Ola,99,RU,1578627242,78,59.58,151.3,1.36,8.72
349,Isangel,90,VU,1578627242,79,-19.55,169.27,84.2,9.17
350,Itaituba,100,BR,1578627242,96,-4.26,-55.99,73.71,2.1
351,Novobelokatay,94,RU,1578627242,93,55.7,58.96,14.88,9.55
352,Tamworth,67,AU,1578627242,26,-31.09,150.93,96.8,12.75
353,Umm Kaddadah,48,SD,1578627242,30,13.6,26.69,54.18,11.01
354,Meulaboh,100,ID,1578627242,73,4.14,96.13,81.82,5.3
355,Malya,100,TZ,1578627242,96,-2.98,33.52,62.06,6.44
356,Tura,100,RU,1578627242,92,64.27,100.22,-11.88,8.41
357,Aiani,44,GR,1578627257,46,40.17,21.82,37.0,5.82
358,Nkowakowa,40,ZA,1578627257,93,-23.89,30.29,70.0,10.29
359,Leksvik,90,NO,1578627257,80,63.83,10.7,39.99,3.36
360,Ngatea,65,NZ,1578627257,60,-37.27,175.5,73.99,20.8
361,Santa Rosa,0,AR,1578627257,38,-36.62,-64.29,62.89,5.5
362,Salalah,75,OM,1578627257,78,17.01,54.1,75.2,3.36
363,Camopi,66,GF,1578627257,99,3.17,-52.33,69.51,3.06
364,Guaimaca,18,HN,1578627257,96,14.68,-86.92,63.55,5.1
365,Wangtan,75,CN,1578627257,100,29.8,120.61,46.4,2.24
366,Klaksvik,67,FO,1578627258,65,62.23,-6.59,41.0,11.41
367,Otane,76,NZ,1578627258,44,-39.94,176.59,73.99,3.0
368,Ossora,100,RU,1578627258,94,59.24,163.07,10.49,17.31
369,Ingham,96,AU,1578627258,47,-18.65,146.16,90.1,8.1
370,Ashland,79,US,1578627258,53,37.17,-99.65,43.0,8.08
371,Stephenville Crossing,75,CA,1578627258,66,48.5,-58.44,14.0,13.87
372,Hadejia,3,NG,1578627258,25,12.45,10.04,64.69,9.24
373,Elizabeth City,1,US,1578627258,75,36.3,-76.22,43.0,4.7
